source,target
MAP3K1,TNFRSF10B
MAP3K1,SP1
MAP3K1,MAP2K3
MAP3K1,CSNK1A1
MAP3K1,MYD88
PHF20,TAF1
PHF20,KANSL3
SP1,SMAD7
SP1,PPARA
SP1,RB1
SP1,RPRD2
SP1,GTF2A1
SP1,E2F1
SP1,UTRN
SP1,TNRC6B
SP1,MYC
SP1,TAF5
SP1,AGO4
PCBP1,DDX46
PCBP1,HNRNPH1
PCBP1,HNRNPK
AGO2,TNRC6B
AGO2,MYC
AGO2,AGO4
AGO2,DICER1
AGO2,FMR1
AGO2,TSNAX
AGO2,E2F1
CASP8,TNFRSF10B
CASP8,TLR3
CASP8,DNM1L
NCOA3,MYC
NCOA3,PBX1
GTF2A1,ATF2
GTF2A1,TAF1
GTF2A1,MEF2C
GTF2A1,HMGB1
GTF2A1,RPRD2
GTF2A1,TAF5
IREB2,MYC
SEPT2,CNTRL
SEPT2,AKAP9
SEPT2,CKAP5
MYC,EIF2S1
MYC,PPARA
MYC,RB1
MYC,ERBB2
MYC,E2F1
MYC,AGO4
MYC,BMI1
MYC,TNRC6B
PARP1,RNF111
PARP1,UBE2N
SLAIN2,CKAP5
UTRN,PTK2
UTRN,DMD
CNTRL,AKAP9
CNTRL,CKAP5
ORC4,RB1
KBTBD6,KBTBD7
KBTBD7,WWP1
KBTBD7,RNF111
KBTBD7,DTX3L
KBTBD7,FBXL13
KBTBD7,HECTD1
FANCI,BRCA1
HMGB1,ATF2
HMGB1,MYD88
MAP2K3,IRAK1
ARHGEF12,ERBB2
MEF2A,BNIP2
MEF2A,MEF2C
TRAF7,STUB1
TRAF7,WWP1
TRAF7,RNF111
TRAF7,UBE2N
TRAF7,FBXL13
TRAF7,HECTD1
SERPINB5,ATF2
STUB1,SOCS1
STUB1,ERBB2
STUB1,HECTD1
STUB1,UBE2N
STUB1,WWP1
STUB1,RNF111
DUSP10,ATF2
CLOCK,PER2
CLOCK,PPARA
CLOCK,PER3
NIPBL,STAG2
NIPBL,SMC1A
AKAP9,CKAP5
SRSF11,THOC2
SRSF11,DDX46
SRSF11,HNRNPH1
SRSF11,HNRNPK
RB1,PPARA
RB1,ATF2
RB1,MEF2C
RB1,E2F1
RB1,CBX4
RB1,TAF1
NSD2,UBE2N
NSD2,BRCA1
COL4A1,CD47
E2F1,MEF2C
E2F1,AGO4
TLR3,UBE2N
TLR3,MYD88
SGCB,DMD
MYD88,UBE2N
MYD88,PELI1
MYD88,IRAK1
SMAD7,RNF111
SMAD7,ZFYVE16
SMAD7,BMPR2
SMAD7,WWP1
FBXL13,WWP1
FBXL13,RNF111
FBXL13,HECTD1
HNRNPH1,DDX46
HNRNPH1,HNRNPK
UBE2N,WWP1
UBE2N,RNF111
UBE2N,DTX3L
UBE2N,HECTD1
UBE2N,SOCS1
UBE2N,PELI1
UBE2N,IRAK1
UBE2N,BRCA1
ERBB2,VEGFA
ERBB2,PTK2
CBX4,BMI1
CBX4,BRCA1
CBX4,HNRNPK
EIF2S1,EIF5
EIF2S1,RPS7
EIF2S1,EIF1AX
EIF2S1,EIF4A2
MRPS10,RPS7
BMPR2,ZFYVE16
BNIP2,MEF2C
FAM3C,VEGFA
PELI1,IRAK1
WWP1,HECTD1
WWP1,RNF111
RPRD2,TAF5
BRCA1,STAG2
BRCA1,ATF2
BRCA1,SMC1A
BRCA1,SYNE2
BRCA1,BMI1
IGF1R,VEGFA
IGF1R,PTK2
TAF5,TAF1
EIF1AX,EIF5
EIF1AX,EIF4A2
EIF1AX,RPS7
DTX3L,RNF111
DTX3L,HECTD1
PER3,PER2
RECK,MMP2
DICER1,AGO4
DUSP8,ATF2
TPM1,DMD
EIF4A2,EIF5
EIF4A2,PAN3
EIF4A2,RPS7
AGO4,BMI1
AGO4,TNRC6B
CENPQ,STAG2
CENPQ,SMC1A
CENPQ,CKAP5
DDX46,HNRNPK
RPS7,EIF5
CKAP5,STAG2
CKAP5,SMC1A
MMP2,ATF2
MMP2,VEGFA
TNRC6B,BMI1
RNF111,SOCS1
RNF111,HECTD1
CD47,PTK2
PTK2,DMD
PTK2,VEGFA
BMI1,HNRNPK
STAG2,SYNE2
STAG2,SMC1A
SMC1A,SYNE2
