miR;path
miR-1-;R-HSA-72163
miR-1-;R-HSA-72172
miR-1-;R-HSA-72203
miR-1-;R-HSA-72187
miR-1-;R-HSA-73856
miR-1-;R-HSA-8851907
miR-1-;R-HSA-69091
miR-1-;R-HSA-69109
miR-1-;R-HSA-77595
miR-1-;R-HSA-72202
miR-1-;R-HSA-1500620
miR-1-;R-HSA-3000170
miR-21-;R-HSA-2173796
miR-21-;R-HSA-2173793
miR-21-;R-HSA-170834
miR-21-;R-HSA-9006936
miR-21-;R-HSA-418885
miR-21-;R-HSA-4641265
miR-21-;R-HSA-4411364
miR-21-;R-HSA-8951430
miR-21-;R-HSA-9018519
miR-21-;R-HSA-4655427
miR-21-;R-HSA-9022707
miR-21-;R-HSA-4570464
miR-21-;R-HSA-8939211
miR-21-;R-HSA-3108214
miR-21-;R-HSA-8864260
miR-21-;R-HSA-8866910
miR-21-;R-HSA-8953750
